DATE,VALUE
1947-01-01,22.332
1948-01-01,24.045
1949-01-01,23.809
1950-01-01,24.063
1951-01-01,25.973
1952-01-01,26.567
1953-01-01,26.768
1954-01-01,26.865
1955-01-01,26.796
1956-01-01,27.191
1957-01-01,28.113
1958-01-01,28.881
1959-01-01,29.150
1960-01-01,29.585
1961-01-01,29.902
1962-01-01,30.253
1963-01-01,30.633
1964-01-01,31.038
1965-01-01,31.528
1966-01-01,32.471
1967-01-01,33.375
1968-01-01,34.792
1969-01-01,36.683
1970-01-01,38.842
1971-01-01,40.483
1972-01-01,41.808
1973-01-01,44.425
1974-01-01,49.317
1975-01-01,53.825
1976-01-01,56.933
1977-01-01,60.617
1978-01-01,65.242
1979-01-01,72.583
1980-01-01,82.383
1981-01-01,90.933
1982-01-01,96.533
1983-01-01,99.583
1984-01-01,103.933
1985-01-01,107.600
1986-01-01,109.692
1987-01-01,113.617
1988-01-01,118.275
1989-01-01,123.942
1990-01-01,130.658
1991-01-01,136.167
1992-01-01,140.308
1993-01-01,144.475
1994-01-01,148.225
1995-01-01,152.383
1996-01-01,156.858
1997-01-01,160.525
1998-01-01,163.008
1999-01-01,166.583
2000-01-01,172.192
2001-01-01,177.042
2002-01-01,179.867
2003-01-01,184.000
2004-01-01,188.908
2005-01-01,195.267
2006-01-01,201.558
2007-01-01,207.344
2008-01-01,215.254
2009-01-01,214.565
2010-01-01,218.080
2011-01-01,224.932
2012-01-01,229.599
2013-01-01,232.960
2014-01-01,236.714
